value_organisation_id,key,offset,partition,region,timestamp,document_event_document_created_expiry_end,document_event_document_created_expiry_start,document_event_document_info_document_id,document_event_document_info_document_type_id,document_event_document_info_document_version_id,document_event_document_info_subject_org_id,document_event_document_info_subject_user_id,document_event_requester_org_id,document_event_requester_user_id,document_event_document_renewed_expiry_end,document_event_document_renewed_expiry_start,event_datetime_utc,event_name,message_id,service_name,user_id,_batch_date,_timestamp,document_event_document_info_expiry_end,document_event_document_info_expiry_start,document_event_document_info_media_ids,document_event_operation
null,MGE4MTkwMGUtYmY1Yy00YWI5LWFkZTktMjliMmI3NGVlMDk4,51331433,17,us-east-1,1708392206105,,,ef72e4e56138aa12543a833583db131d4c5b856a8712299765c6a6c296eba416,ef7e7164936f0794327bc0a1662f0b760477d7228e46ec6487684b4e5b1adfa0,,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 01:23:26.07218+00,s12_protobuf_documents_documentevent,ef72e4e56138aa12543a833583db131d4c5b856a8712299765c6a6c296eba416,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,,DOCUMENT_DELETED
null,NzYxNWY1MDAtYjVmYy00MDc5LTkzNTUtOTY5ZmVkMjkxYzg5,51574156,12,us-east-1,1708392264925,,,43a8c6d58d9eee6cfc35bac514cbc8e22de77a869b2e96ecf50272b982b75c40,6378540748164399ba88f6480ba4894ddf01687cbbfa97f3858cc2b752d2aa16,be820694bf47195d93210b969ed10ae2080102310ffb7f5854170881ca59edd8,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 01:24:24.90008+00,s12_protobuf_documents_documentevent,43a8c6d58d9eee6cfc35bac514cbc8e22de77a869b2e96ecf50272b982b75c40,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[059738df-93cb-4ac8-b870-e763867e160c],DOCUMENT_CREATED
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,ODhmMWVmNDEtMzE0ZC00ZmEzLWJhZjUtNGI1OTk0YjczY2M1,51404609,30,us-east-1,1708395722648,,,null,24220d053e88ad8f6d39c2eb89e7854f2464dabbd83848f168cfd676caa2f892,5d17285e3f471142a28ee5cd7fd46f010daac386617b3665b78cd09fe11741ad,null,null,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 02:22:02.560301+00,s12_protobuf_documents_documentevent,d1f998d8ee638adf7efb3145ef5915243689847451b5b6c22e457b4c4c804d89,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[7f2246ea-9501-4817-a319-a66320c3600d],DOCUMENT_CREATED
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,ODhmMWVmNDEtMzE0ZC00ZmEzLWJhZjUtNGI1OTk0YjczY2M1,51404616,30,us-east-1,1708395726405,,,null,24220d053e88ad8f6d39c2eb89e7854f2464dabbd83848f168cfd676caa2f892,5d17285e3f471142a28ee5cd7fd46f010daac386617b3665b78cd09fe11741ad,null,null,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 02:22:06.376227+00,s12_protobuf_documents_documentevent,d1f998d8ee638adf7efb3145ef5915243689847451b5b6c22e457b4c4c804d89,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[7f2246ea-9501-4817-a319-a66320c3600d],MEDIA_DELETED_FROM_DOCUMENT
000000000000000000,ODhmMWVmNDEtMzE0ZC00ZmEzLWJhZjUtNGI1OTk0YjczY2M1,51404617,30,us-east-1,1708395727259,,,d1f998d8ee638adf7efb3145ef5915243689847451b5b6c22e457b4c4c804d89,24220d053e88ad8f6d39c2eb89e7854f2464dabbd83848f168cfd676caa2f892,,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 02:22:07.25962+00,s12_protobuf_documents_documentevent,d1f998d8ee638adf7efb3145ef5915243689847451b5b6c22e457b4c4c804d89,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,,DOCUMENT_DELETED
000000000000000000,NmU5Y2E2NTQtOTE2NS00NDNmLTkyY2YtMzllNTljNDczNTQw,51263391,19,us-east-1,1708395830471,,,4888dd96059140094574702666e40ebc8bf84b346730296448405db17884537f,a055a870e23d65cfe958d940c7465feec2eab61742e9199a75c226e16d413a60,212616ca9c23bdfcf6d2a8542d29b9cbeef31fe5fd47f0306fb213210897bfde,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 02:23:50.446796+00,s12_protobuf_documents_documentevent,4888dd96059140094574702666e40ebc8bf84b346730296448405db17884537f,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[477c4153-4d9e-4e58-b067-d97f222fbb79],DOCUMENT_CREATED
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,NmU5Y2E2NTQtOTE2NS00NDNmLTkyY2YtMzllNTljNDczNTQw,51263397,19,us-east-1,1708395833827,,,000000000000000000,a055a870e23d65cfe958d940c7465feec2eab61742e9199a75c226e16d413a60,212616ca9c23bdfcf6d2a8542d29b9cbeef31fe5fd47f0306fb213210897bfde,000000000000000000,000000000000000000,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 02:23:53.827752+00,s12_protobuf_documents_documentevent,4888dd96059140094574702666e40ebc8bf84b346730296448405db17884537f,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[477c4153-4d9e-4e58-b067-d97f222fbb79],MEDIA_DELETED_FROM_DOCUMENT
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,NmU5Y2E2NTQtOTE2NS00NDNmLTkyY2YtMzllNTljNDczNTQw,51263401,19,us-east-1,1708395834740,,,000000000000000000,a055a870e23d65cfe958d940c7465feec2eab61742e9199a75c226e16d413a60,,000000000000000000,000000000000000000,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 02:23:54.712152+00,s12_protobuf_documents_documentevent,4888dd96059140094574702666e40ebc8bf84b346730296448405db17884537f,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,,DOCUMENT_DELETED
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,NDg0NGY0YWYtYjQ2ZS00NmVhLWIyMmYtMDNkNzJhYTVjYjc4,51598564,12,us-east-1,1708405241439,,,7e71d689bac7fa81b5b01aac3582272ff26cf582a8180ba12734106846e09296,a9295647229f681112928b6380c4cbe41ceaea8c024418c4405c51c1112f7e8a,dc4c482f0741353aa599f452e7a464c59adb4675058233013ec4e6ba9d9ac41c,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 05:00:41.411746+00,s12_protobuf_documents_documentevent,7e71d689bac7fa81b5b01aac3582272ff26cf582a8180ba12734106846e09296,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[662dbcbc-b47f-497d-8543-e7e0462f171d],DOCUMENT_CREATED
76918ec604e7742df8223e1eb36cb0b3d28f493479603c7bdba3a86bdc73e128,NDg0NGY0YWYtYjQ2ZS00NmVhLWIyMmYtMDNkNzJhYTVjYjc4,51598570,12,us-east-1,1708405245388,,,7e71d689bac7fa81b5b01aac3582272ff26cf582a8180ba12734106846e09296,a9295647229f681112928b6380c4cbe41ceaea8c024418c4405c51c1112f7e8a,dc4c482f0741353aa599f452e7a464c59adb4675058233013ec4e6ba9d9ac41c,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,a0a0827c1ec8128b8549892ec77c3c500a3d8454055f0ba2b9ada3454e170f62,d5016c84509dedaa304dd7cc1e68c55e1f2f1fc9f0cd612dcf107faf4e5f9586,,,2024-02-20 05:00:45.359804+00,s12_protobuf_documents_documentevent,7e71d689bac7fa81b5b01aac3582272ff26cf582a8180ba12734106846e09296,api-user-documents,0dcdc1e1a783196a5361def45bc33c70373f07c2f9aca045291048cc45be2ac1,2024-02-20,2024-02-21 4:01:24,,,[662dbcbc-b47f-497d-8543-e7e0462f171d],MEDIA_DELETED_FROM_DOCUMENT
